sub_num,condition_timing,condition_stim,stim_id,cat,resp,rt,age,gender,date,prob_num,prob_num_grating,prob_num_binary,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim,x,y,xc
2,long_iti,grating,33,1,1,0.7248048782348633,,Prefer not to specify,2019-12-06,3,1,1,3,10,10,58,1,16.243509106080946,24.0,29.678380135806663
2,long_iti,grating,10,1,2,0.6891210079193115,,Prefer not to specify,2019-12-06,3,1,1,3,11,11,59,1,23.09596560765866,24.0,29.678380135806663
2,long_iti,grating,6,2,2,0.6236848831176758,,Prefer not to specify,2019-12-06,3,1,1,3,12,12,60,1,31.958644417930774,24.0,29.678380135806663
2,long_iti,grating,0,2,2,1.1209828853607178,,Prefer not to specify,2019-12-06,3,1,1,3,13,13,61,1,31.754785255074417,24.0,29.678380135806663
2,long_iti,grating,28,2,2,0.9849088191986084,,Prefer not to specify,2019-12-06,3,1,1,3,14,14,62,1,31.71016585029955,24.0,29.678380135806663
2,delay,grating,57,1,2,1.2963099479675293,,Prefer not to specify,2019-12-06,4,2,2,4,0,0,63,1,62.939325658680474,56.0,56.710258164073515
2,delay,grating,23,1,2,0.8245439529418945,,Prefer not to specify,2019-12-06,4,2,2,4,1,1,64,1,63.122051405122924,56.0,56.710258164073515
2,delay,grating,43,2,2,0.8695929050445557,,Prefer not to specify,2019-12-06,4,2,2,4,2,2,65,1,53.93732433572587,56.0,56.710258164073515
2,delay,grating,17,1,2,0.6874699592590332,,Prefer not to specify,2019-12-06,4,2,2,4,3,3,66,1,62.975899556364084,56.0,56.710258164073515
2,delay,grating,29,2,2,0.9172470569610596,,Prefer not to specify,2019-12-06,4,2,2,4,4,4,67,1,49.272713381713785,56.0,56.710258164073515
2,delay,grating,34,2,1,1.3465800285339355,,Prefer not to specify,2019-12-06,4,2,2,4,5,5,68,1,54.81342145076735,56.0,56.710258164073515
2,delay,grating,59,2,2,1.435448169708252,,Prefer not to specify,2019-12-06,4,2,2,4,6,6,69,1,48.56049307731692,56.0,56.710258164073515
2,delay,grating,38,2,1,1.3292591571807861,,Prefer not to specify,2019-12-06,4,2,2,4,7,7,70,1,54.752389948109226,56.0,56.710258164073515
2,delay,grating,36,1,1,1.8123080730438232,,Prefer not to specify,2019-12-06,4,2,2,4,8,8,71,1,63.94659724015278,56.0,56.710258164073515
2,delay,grating,56,2,2,0.7514128684997559,,Prefer not to specify,2019-12-06,4,2,2,4,9,9,72,1,52.71105742600606,56.0,56.710258164073515
2,delay,grating,5,1,2,1.027014970779419,,Prefer not to specify,2019-12-06,4,2,2,4,10,10,73,1,60.86017669341436,56.0,56.710258164073515
2,delay,grating,50,1,1,0.8419959545135498,,Prefer not to specify,2019-12-06,4,2,2,4,11,11,74,1,63.75876980186006,56.0,56.710258164073515
2,delay,grating,61,1,1,0.9368569850921631,,Prefer not to specify,2019-12-06,4,2,2,4,12,12,75,1,62.2694231875204,56.0,56.710258164073515
2,delay,grating,35,1,1,0.8278617858886719,,Prefer not to specify,2019-12-06,4,2,2,4,13,13,76,1,61.6744223496884,56.0,56.710258164073515
2,delay,grating,26,2,2,0.8414809703826904,,Prefer not to specify,2019-12-06,4,2,2,4,14,14,77,1,48.87435472684494,56.0,56.710258164073515
2,delay,grating,12,1,1,0.8715569972991943,,Prefer not to specify,2019-12-06,4,2,2,4,15,15,78,1,63.90137511851214,56.0,56.710258164073515
2,delay,grating,32,2,2,0.5949239730834961,,Prefer not to specify,2019-12-06,4,2,2,4,16,16,79,1,48.05266586243701,56.0,56.710258164073515
2,delay,grating,7,1,2,0.9076049327850342,,Prefer not to specify,2019-12-06,4,2,2,4,17,17,80,1,63.95212236128339,56.0,56.710258164073515
2,delay,grating,4,1,2,0.6499130725860596,,Prefer not to specify,2019-12-06,4,2,2,4,18,18,81,1,60.50510818401928,56.0,56.710258164073515
2,delay,grating,37,2,2,1.861142873764038,,Prefer not to specify,2019-12-06,4,2,2,4,19,19,82,1,54.89052346325669,56.0,56.710258164073515
2,delay,grating,49,1,1,1.2674560546875,,Prefer not to specify,2019-12-06,4,2,2,4,20,20,83,1,63.125101077808125,56.0,56.710258164073515
2,delay,grating,48,1,1,0.9299449920654297,,Prefer not to specify,2019-12-06,4,2,2,4,21,21,84,1,63.04431359638863,56.0,56.710258164073515
2,delay,grating,51,1,2,0.4989180564880371,,Prefer not to specify,2019-12-06,4,2,2,4,22,22,85,1,59.648454127016585,56.0,56.710258164073515
2,delay,grating,42,1,2,0.6674630641937256,,Prefer not to specify,2019-12-06,4,2,2,4,23,23,86,1,60.06372039462437,56.0,56.710258164073515
2,delay,grating,39,1,1,0.6563851833343506,,Prefer not to specify,2019-12-06,4,2,2,4,24,24,87,1,62.78291175039235,56.0,56.710258164073515
2,delay,grating,0,1,1,0.8535170555114746,,Prefer not to specify,2019-12-06,4,2,2,4,25,25,88,1,61.31460379122613,56.0,56.710258164073515
2,delay,grating,14,2,2,0.6432509422302246,,Prefer not to specify,2019-12-06,4,2,2,4,26,26,89,1,51.04382910320809,56.0,56.710258164073515
2,delay,grating,45,2,2,0.47364211082458496,,Prefer not to specify,2019-12-06,4,2,2,4,27,27,90,1,51.96312801336323,56.0,56.710258164073515
2,delay,grating,53,1,1,0.6308841705322266,,Prefer not to specify,2019-12-06,4,2,2,4,28,28,91,1,63.547513699616744,56.0,56.710258164073515
2,delay,grating,22,1,2,1.6712579727172852,,Prefer not to specify,2019-12-06,4,2,2,4,29,29,92,1,62.30071501726694,56.0,56.710258164073515
2,delay,grating,40,1,1,0.42273998260498047,,Prefer not to specify,2019-12-06,4,2,2,4,30,30,93,1,59.9195992442443,56.0,56.710258164073515
2,delay,grating,30,1,1,0.6486639976501465,,Prefer not to specify,2019-12-06,4,2,2,4,31,31,94,1,60.55011814683898,56.0,56.710258164073515
2,delay,grating,13,1,2,0.7193560600280762,,Prefer not to specify,2019-12-06,4,2,2,4,32,32,95,1,60.352574226997454,56.0,56.710258164073515
2,delay,grating,62,1,1,0.8481268882751465,,Prefer not to specify,2019-12-06,4,2,2,4,33,33,96,1,61.11895716072573,56.0,56.710258164073515
2,delay,grating,21,1,1,0.5925679206848145,,Prefer not to specify,2019-12-06,4,2,2,4,34,34,97,1,63.85381439417385,56.0,56.710258164073515
2,delay,grating,19,2,2,0.5339851379394531,,Prefer not to specify,2019-12-06,4,2,2,4,35,35,98,1,52.9431906086028,56.0,56.710258164073515
2,delay,grating,18,1,1,0.688960075378418,,Prefer not to specify,2019-12-06,4,2,2,4,36,36,99,1,63.99096345840126,56.0,56.710258164073515
2,delay,grating,60,1,1,0.6341931819915771,,Prefer not to specify,2019-12-06,4,2,2,4,37,37,100,1,63.32221375282841,56.0,56.710258164073515
2,delay,grating,28,2,2,0.5429840087890625,,Prefer not to specify,2019-12-06,4,2,2,4,38,38,101,1,48.990380883563276,56.0,56.710258164073515
2,delay,grating,24,2,2,0.6551330089569092,,Prefer not to specify,2019-12-06,4,2,2,4,39,39,102,1,54.63621006212613,56.0,56.710258164073515
2,delay,binary,38,1,2,0.8214821815490723,,Prefer not to specify,2019-12-06,5,2,2,5,0,0,103,4,-1,-1,56.710258164073515
2,delay,binary,21,1,1,3.012230157852173,,Prefer not to specify,2019-12-06,5,2,2,5,1,1,104,4,-1,-1,56.710258164073515
2,delay,binary,36,1,2,0.8938839435577393,,Prefer not to specify,2019-12-06,5,2,2,5,2,2,105,4,-1,-1,56.710258164073515
2,delay,binary,32,2,1,1.7022931575775146,,Prefer not to specify,2019-12-06,5,2,2,5,3,3,106,4,-1,-1,56.710258164073515
